ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,entity_id,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
null,1996,4,grau,326 g/km,5,5,14.3 l/100km,4196,Occasion,"""Ab MFK""",Red,Hinterradantrieb,Automat,132600,279,Limousine,Benzin,Zuzwil,Mercedes-Benz,E 420,E 420 Avantgarde,E 420 Avantgarde,MERCEDES-BENZ E 420 Avantgarde,39cec242-cd72-4105-9fa6-57e536dcd8b7,14.3,l/100km
null,1999,4,schwarz,322 g/km,1,5,13.5 l/100km,4172,Occasion,"""Ab MFK""",Red,Allrad,Automat,69900,300,Limousine,Benzin,Zuzwil,Audi,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,6ff0ac3c-e3e0-489a-af29-2cd242d1a7a4,13.5,l/100km
G,2006,2,rot,420 g/km,3,2,18.3 l/100km,4308,Occasion,"""Ab MFK""",Red,Hinterradantrieb,Automatik-Getriebe,4400,486,Coupé,Benzin,Zuzwil,Ferrari,F430,F430,F430,FERRARI F430,fe7e47c1-15e3-4af4-be3f-528e1468aef9,18.3,l/100km
null,1979,0,mehrfarbig,null,7,7,null,5893,Occasion,"""Ab MFK""",Red,Hinterradantrieb,Automat,13800,0,Kompaktvan / Minivan,Benzin,Zuzwil,Dodge,,B 200,B 200,DODGE B 200,1f04a1b2-5edb-41d7-a22b-a223095551af,null,null
G,2010,5,null,333 g/km,9,5,14.0 l/100km,4991,Occasion,"""Ab MFK""",Red,Allrad,Automat,38000,580,Kombi,Benzin,Zuzwil,Audi,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,61d615ab-06d6-4720-9bfb-ef569567fba6,14.0,l/100km
G,2001,2,schwarz,323 g/km,9,5,13.4 l/100km,3246,Occasion,"""Ab MFK""",Red,Hinterradantrieb,Schaltgetriebe manuell,127800,343,Coupé,Benzin,Zuzwil,BMW,M3,M3,M3,BMW M3,8987749e-c519-410b-84f0-fcd3a88cc20a,13.4,l/100km
null,2000,5,schwarz,254 g/km,9,5,10.6 l/100km,2671,Occasion,"""Ab MFK"", ""Tuning""",Red,Vorderradantrieb,Schaltgetriebe manuell,45000,230,Kombi,Benzin,Zuzwil,Audi,A6,A6 Avant 2.7 T Ambition,A6 Avant 2.7 T Ambition,AUDI A6 Avant 2.7 T Ambition,78a076de-903b-41bd-a13d-47109b3d6ef9,10.6,l/100km
G,2010,5,schwarz,270 g/km,1,5,11.5 l/100km,4806,Occasion,"""Ab MFK""",Other,Allrad,Automat sequentiell,2900,500,SUV / Geländewagen,Benzin,Zuzwil,Porsche,CAYENNE,Cayenne Turbo Techart Magnum Kit,Cayenne Turbo Techart Magnum Kit,PORSCHE Cayenne Turbo Techart Magnum Kit,1255ad85-ac71-418b-a69c-bb4dda28e6a6,11.5,l/100km
G,2003,5,schwarz,350 g/km,5,5,14.6 l/100km,4172,Occasion,"""Ab MFK""",Blue,Allrad,Automat sequentiell,43400,450,Kombi,Benzin,Zuzwil,Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,AUDI RS6 Avant quattro,026afdb3-6941-423e-bacd-5973503d2c88,14.6,l/100km
G,2000,4,beige,299 g/km,1,5,12.5 l/100km,3996,Occasion,"""Ab MFK""",Red,Hinterradantrieb,Automat,44200,276,Limousine,Benzin,Zuzwil,Jaguar,S-TYPE,S-Type 4.0 V8,S-Type 4.0 V8,JAGUAR S-Type 4.0 V8,612c12b9-727e-40df-9b24-01c7a4d57600,12.5,l/100km
