ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,entity_id
null,1970,2,schwarz,null,8,0,null,843,Occasion,null,bordeaux mét.,Hinterradantrieb,Schaltgetriebe,9999,49,Coupé,Benzin,Zuzwil,FIAT,,850 Spider,850 Spider,FIAT 850 Spider,c13b888d-6aa7-4413-9a56-51b213594e13
null,1999,2,null,440 g/km,8,2,19.3 l/100km,3586,Occasion,"""Ab MFK""",bordeaux mét.,Hinterradantrieb,Automatik-Getriebe,30300,400,Coupé,Benzin,Zuzwil,FERRARI,F360,F360 Modena Berlinetta,F360 Modena Berlinetta,FERRARI F360 Modena Berlinetta,06534805-71c6-44fe-baea-b6472f191f8b
null,1979,4,mehrfarbig,null,2,5,null,6744,Occasion,"""Ab MFK""",bordeaux mét.,Hinterradantrieb,Automatik-Getriebe,175100,196,Limousine,Benzin,Zuzwil,BENTLEY,,T 2,T 2,BENTLEY T 2,aad8ed62-785c-4f8c-95f3-5c8bc5dbb5a8
null,1997,4,null,301 g/km,10,5,12.6 l/100km,5439,Occasion,"""Ab MFK""",bordeaux mét.,Hinterradantrieb,Automat,67400,354,Limousine,Benzin,Zuzwil,MERCEDES-BENZ,E 55 AMG,E 55 AMG Avantgarde,E 55 AMG Avantgarde,MERCEDES-BENZ E 55 AMG Avantgarde,09c0a99e-c920-4965-8243-b2c8066e07bf
G,2001,2,braun,292 g/km,3,4,12.1 l/100km,3246,Occasion,"""Ab MFK""",bordeaux mét.,Hinterradantrieb,Schaltgetriebe manuell,46000,343,Cabriolet,Benzin,Zuzwil,BMW,M3,M3,M3,BMW M3,0bed5a6a-a190-4a69-9a5f-2fb12f18f3c6
null,1999,5,beige,283 g/km,9,5,11.8 l/100km,2671,Occasion,"""Ab MFK""",bordeaux mét.,Allrad,Automatik-Getriebe,171700,230,Kombi,Benzin,Zuzwil,AUDI,A6,A6 Avant 2.7 T q.Ambiente,A6 Avant 2.7 T q.Ambiente,AUDI A6 Avant 2.7 T q.Ambiente,5d7ff9f9-5232-4f4b-bbff-6fde733b1730
G,2003,5,schwarz,350 g/km,7,5,14.6 l/100km,4172,Occasion,"""Ab MFK""",anthrazit mét.,Allrad,Automat sequentiell,27900,450,Kombi,Benzin,Zuzwil,AUDI,RS6,RS6 Avant quattro,RS6 Avant quattro,AUDI RS6 Avant quattro,4a9f09c1-3929-47d6-afb0-e43934d394f8
G,2005,2,schwarz,420 g/km,6,2,18.3 l/100km,4308,Occasion,"""Ab MFK""",bordeaux mét.,Hinterradantrieb,Automatik-Getriebe,29300,486,Coupé,Benzin,Zuzwil,FERRARI,F430,F430,F430,FERRARI F430,7043419a-62d6-4b30-bca5-f6b75a512ebc
G,2008,4,schwarz,370 g/km,4,5,15.8 l/100km,4244,Occasion,"""Ab MFK""",braun,Hinterradantrieb,Automatisiertes Schaltgetriebe,80000,400,Limousine,Benzin,Zuzwil,MASERATI,QUATTROPORTE,Quattroporte 4.2 Sport GT,Quattroporte 4.2 Sport GT,MASERATI Quattroporte 4.2 Sport GT,ea1b2393-ad18-48df-87e6-f2f00dd59254
G,2008,2,schwarz,197 g/km,9,2,8.2 l/100km,2497,Occasion,"""Ab MFK""",braun mét.,Hinterradantrieb,Schaltgetriebe manuell,22800,177,Cabriolet,Benzin,Zuzwil,BMW,Z4,Z4 2.5i Roadster,Z4 2.5i Roadster,BMW Z4 2.5i Roadster,131b93a1-50b4-4861-8818-812f5e31d87f
