color,make,model,model_variant,city
Blue,Mercedes-Benz,E 420,E 420 Elégance,Zuzwil
Blue,Mercedes-Benz,ML 63 AMG,ML 63 AMG 4Matic,Zuzwil
Blue,Mercedes-Benz,E 55 AMG,E 55 AMG Avantgarde,Zuzwil
Blue,Mercedes-Benz,S 600,S 600,Zuzwil
Blue,Mercedes-Benz,SLK 230,SLK 230 Kompressor,Zuzwil
Blue,Lotus,ESPRIT,Esprit 3.5 V8 SE,Zuzwil
Blue,Subaru,IMPREZA,Impreza 2.5T WRX,Zuzwil
Blue,Aston Martin,DB7,DB7,Zuzwil
Other,Land Rover,RANGE ROVER,Range Rover 4.4TD Vogue,Zuzwil
Blue,Mercedes-Benz,S 500,S 500,Zuzwil
Blue,Renault,ALPINE,Alpine A310 V6,Zuzwil
Blue,Audi,RS6,RS6 Avant quattro,Zuzwil
Blue,Maserati,QUATTROPORTE,Quattroporte 4.2,Zuzwil
Blue,Renault,ALPINE,ALPINE A310 1600 VG,Zuzwil
Blue,Audi,RS6,RS6 Avant quattro,Zuzwil
Blue,Ferrari,F360,F360 Modena Berlinetta,Zuzwil
Blue,Mercedes-Benz,CL 500,CL 500,Zuzwil
Blue,Ferrari,575M,575M,Zuzwil
Blue,Volvo,C70,C70 T5,Zuzwil
Other,Mercedes-Benz,C 63 AMG,C 63 AMG BLACK SERIES (Coupé),Zuzwil
Blue,Land Rover,RANGE ROVER,Range Rover 4.6 HSE,Zuzwil
Blue,Toyota,CELICA,CELICA 1600 GT,Zuzwil
Blue,Ferrari,F360,F360 Modena Berlinetta,Zuzwil
Blue,Bmw-Alpina,7 SERIES,7 SERIES B7 Turbo Coupé,Zuzwil
Blue,Mercedes-Benz,SLR,SLR McLaren Roadster,Zuzwil
Blue,Porsche,924,924,Zuzwil
Blue,Audi,A8,A8  6.0 quattro,Zuzwil
Blue,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Blue,Renault,ALPINE,Alpine A310 V6,Zuzwil
Blue,BMW,M3,M3,Zuzwil
Other,Bmw-Alpina,3 SERIES,3 SERIES B8,Zuzwil
Blue,Mercedes-Benz,SL 600,SL 600,Zuzwil
Blue,Audi,RS4,RS4 Avant quattro,Zuzwil
Blue,Mercedes-Benz,CLK 55 AMG,CLK 55 AMG Avantgarde,Zuzwil
Blue,Mercedes-Benz,SLK 230,SLK 230 Kompressor,Zuzwil
Blue,Porsche,911,911 Carrera 4S,Zuzwil
Other,Mitsubishi,LANCER,Lancer Evo VII,Zuzwil
Other,Mercedes-Benz,S 320,S 320,Zuzwil
Other,Mercedes-Benz,SL 600,SL 600,Zuzwil
Other,Mercedes-Benz,,170V B Cabrio 136,Zuzwil
Other,Mercedes-Benz,S 500,S 500,Zuzwil
Other,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Other,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
Other,Porsche,911,911 Turbo S Cabrio,Zuzwil
Other,Mercedes-Benz,SL 300,SL 300,Zuzwil
Other,Mercedes-Benz,S 500,S 500,Zuzwil
Other,Audi,A8,A8 4.2 quattro,Zuzwil
Other,Fiat,,850 Spider,Zuzwil
Other,Ferrari,F360,F360 Modena Berlinetta,Zuzwil
Other,Bentley,,T 2,Zuzwil
Other,Mercedes-Benz,E 55 AMG,E 55 AMG Avantgarde,Zuzwil
Other,BMW,M3,M3,Zuzwil
Other,Audi,A6,A6 Avant 2.7 T q.Ambiente,Zuzwil
Other,Audi,RS6,RS6 Avant quattro,Zuzwil
Other,Ferrari,F430,F430,Zuzwil
Brown,Maserati,QUATTROPORTE,Quattroporte 4.2 Sport GT,Zuzwil
Brown,BMW,Z4,Z4 2.5i Roadster,Zuzwil
Brown,BMW,328,328i,Zuzwil
Yellow,Bentley,CONTINENTAL,Continental FlyingSpur6.0,Zuzwil
Yellow,Morgan,4/4,4/4 1.8,Zuzwil
Yellow,Rolls-Royce,CORNICHE,CORNICHE Cabrio,Zuzwil
Yellow,Ferrari,F355,F355 Berlinetta,Zuzwil
Yellow,BMW,M5,M5,Zuzwil
Yellow,Daewoo,TACUMA,Tacuma 2000i CDX,Zuzwil
Other,Renault,Alpine A110,Alpine A110 1600S Gruppe 5 look,Zuzwil
