color,make,model,model_variant,city
Black,Porsche,911,911 Carrera 4S Cabrio,Zuzwil
Black,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
Black,Renault,Alpine A110,Alpine A110 Modell 1400 FASA,Zuzwil
Black,Porsche,911,911 GTR (GT3),Zuzwil
Blue,Porsche,911,911 Carrera Cabrio,Zuzwil
Black,Ferrari,F360,F360 Challenge stradale,Zuzwil
Black,Mercedes-Benz,CLS 55 AMG,CLS 55 AMG,Zuzwil
Black,Mercedes-Benz,E 240,E 240 Elégance,Zuzwil
Black,BMW,323,323 E21,Zuzwil
Black,Porsche,911,911 Carrera 4 S Cabrio,Zuzwil
Black,Porsche,911,911 Turbo Cabrio,Zuzwil
Black,Land Rover,RANGE ROVER,Range Rover 4.6 HSE,Zuzwil
Black,Mercedes-Benz,SLK 32 AMG,SLK 32 AMG,Zuzwil
Black,Bmw-Alpina,5 SERIES,B5 BiTurbo 4.4 V8,Zuzwil
Black,Lamborghini,DIABLO,Diablo 5.7,Zuzwil
Blue,Porsche,PANAMERA,Panamera Turbo 4.8,Zuzwil
Black,Audi,RS6,RS6 Avant quattro,Zuzwil
Black,BMW,320,320d Touring,Zuzwil
Black,BMW,2002,2002 Turbo,Zuzwil
Black,Renault,ALPINE,Alpine A310 V6,Zuzwil
Black,Mercedes-Benz,SL 500,SL 500,Zuzwil
Black,Porsche,911,911 Carrera,Zuzwil
Black,BMW,X5,X5 4.6is,Zuzwil
Black,BMW,M5,M5,Zuzwil
Black,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Black,Maserati,COUPÉ GT,Coupé GT,Zuzwil
Blue,Mercedes-Benz,SL 63 AMG,SL 63 AMG,Zuzwil
Black,Audi,RS6,RS6 Avant quattro,Zuzwil
Black,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
Black,Mercedes-Benz,S 350,S 350 L 4Matic,Zuzwil
Black,Audi,A4,A4 Avant 3.0 V6,Zuzwil
Black,VW,TOURAN,Touran 1.4 TSI Trend,Zuzwil
Black,Mercedes-Benz,S 600,S 600 L,Zuzwil
Black,BMW,3.0,3.0 CSL,Zuzwil
Black,Ferrari,612,612,Zuzwil
Black,Mercedes-Benz,G 55 AMG,G 55 AMG,Zuzwil
Black,Kaiser,,CJ-5 12V ARMEEFAHRZEUG,Zuzwil
Blue,Mercedes-Benz,SL 600,SL 600,Zuzwil
Black,Mercedes-Benz,S 320,S 320,Zuzwil
Black,Mercedes-Benz,SL 500,SL 500,Zuzwil
Black,Mercedes-Benz,SL 500,SL 500,Zuzwil
Black,Lotus,,HKT Seven GTS,Zuzwil
Black,Talbot,,Sunbeam Lotus,Zuzwil
Black,Saab,9-5,9-5 2.3T Aero,Zuzwil
Black,Audi,R8,R8 Coupé 5.2,Zuzwil
Black,Lincoln,Continental,Continental,Zuzwil
Black,Maserati,GHIBLI,Ghibli 2.8 GT,Zuzwil
Black,Mercedes-Benz,S 500,S 500 L,Zuzwil
Other,Aston Martin,DB9,DB9 Volante,Zuzwil
Blue,Lancia,DELTA,DELTA Integrale EVO,Zuzwil
Black,BMW,525,525i,Zuzwil
Black,BMW,M6,M6,Zuzwil
Black,Mercedes-Benz,CLK 63 AMG,CLK 63 AMG Black Series,Zuzwil
Black,Porsche,911,911 Turbo ll 3.6,Zuzwil
Black,Mercedes-Benz,S 320,S 320,Zuzwil
Black,Porsche,911,911 Turbo,Zuzwil
Black,Honda,ACCORD,Accord Coupé V6 3.0i VTEC,Zuzwil
Black,Audi,RS5,RS5 Coupé 4.2FSI quattro,Zuzwil
Black,Ferrari,458,458 Italia 4.5 V8,Zuzwil
Black,Rolls-Royce,Silver Spur,Silver Spur,Zuzwil
Blue,NSU,,TTS,Zuzwil
Black,Jaguar,XK,XKR 5.0 V8 SC,Zuzwil
Black,BMW,535,535d xDrive,Zuzwil
Black,Porsche,911,911 GT2,Zuzwil
Black,Mercedes-Benz,SL 500,SL 500,Zuzwil
Black,Lamborghini,HURACAN,Huracan LP610-4 Coupé,Zuzwil
Black,Mercedes-Benz,C 63 AMG,C 63 AMG BLACK SERIES,Zuzwil
Black,BMW,740,740iL,Zuzwil
Black,Porsche,911,911 GT3 CUP,Zuzwil
Black,Ferrari,612,612,Zuzwil
Black,BMW,328,328i A Cabrio,Zuzwil
Blue,Toyota,CELICA,CELICA 2000GT,Zuzwil
Black,Porsche,911,911 Carrera 4,Zuzwil
Black,Lancia,DELTA,Delta HF Integrale Evo 4V,Zuzwil
Black,Toyota,LAND CRUISER,LAND CRUISER BJ 40 LT,Zuzwil
Black,Maserati,COUPÉ GT,Coupé GT,Zuzwil
Black,Harley-Davidson,,HPU Hurricane TC,Zuzwil
Black,Land Rover,RANGE ROVER,Range Rover 4.6 HSE,Zuzwil
Black,Mercedes-Benz,CL 65 AMG,CL 65 AMG,Zuzwil
Black,Mercedes-Benz,SL 600,SL 600,Zuzwil
Black,BMW,,323 i E21,Zuzwil
Black,Maserati,GRANTURISMO,GranTurismo,Zuzwil
Blue,Mercedes-Benz,CL 500,CL 500,Zuzwil
Black,Smart,FORTWO,Fortwo passion,Zuzwil
Black,Audi,S6,S6 Avant quattro,Zuzwil
Black,Porsche,911,911 Turbo,Zuzwil
Black,Mercedes-Benz,R 500,R 500 4Matic,Zuzwil
Black,Rolls-Royce,CORNICHE,CORNICHE Convertible,Basel
Silver,Porsche,911,911 Carrera 4,Zuzwil
Silver,Lancia,DELTA,Delta HF Integrale Evo 4V,Zuzwil
Silver,Alfa Romeo,GT,GT 1300 Junior,Zuzwil
Silver,Ferrari,599,599 GTB HGTE,Zuzwil
Silver,Ferrari,365,365 Daytona Plexiglas,Sursee
Blue,Ferrari,F355,F355 Berlinetta,Zuzwil
Silver,Renault,ALPINE,Alpine A310 V6 VFA-2700 VAA,Zuzwil
Silver,Mercedes-Benz,E 55 AMG,E 55 AMG Avantgarde,Zuzwil
Silver,Mercedes-Benz,C 280,C 280 Elégance,Zuzwil
Silver,Audi,RS6,RS6 Avant quattro,Zuzwil
Silver,Audi,S8,S8 4.2 quattro,Zuzwil
Silver,VW,TOUAREG,Touareg 5.0 TDI V10,Zuzwil
Silver,Nissan,200 SX,200 SX 1.8 16V Turbo,Zuzwil
Silver,Ferrari,599,599 GTB,Zuzwil
Silver,Porsche,911,911 Turbo II,Zuzwil
Silver,Mercedes-Benz,SL 65 AMG,SL 65 AMG BLACK SERIES,Zuzwil
Blue,BMW,M3,M3,Zuzwil
Silver,Audi,RS4,RS4 4.2 V8 quattro,Zuzwil
Silver,Mercedes-Benz,CL 600,CL 600,Zuzwil
Silver,Porsche,911,911 GT3,Zuzwil
Silver,VW,TOUAREG,Touareg 5.0 TDI V10,Zuzwil
Silver,Aston Martin,DB9,DB9,Zuzwil
Silver,Mercedes-Benz,SL 500,SL 500,Zuzwil
Silver,Mercedes-Benz,CL 600,CL 600,Zuzwil
Silver,Ford (Usa),MUSTANG,Mustang,Sursee
Silver,Chevrolet,CORVETTE,Corvette ZR1,Zuzwil
Silver,Ferrari,F360,F360 Spider,Zuzwil
Blue,Daihatsu,CHARADE,Charade 1.0 Turbo,Zuzwil
Silver,BMW,545,545i,Zuzwil
Silver,Mercedes-Benz,C 240,C 240 Elégance,Zuzwil
Silver,Maserati,GRANSPORT,Coupé GranSport,Zuzwil
Silver,Mercedes-Benz,SL 65 AMG,SL 65 AMG,Zuzwil
Silver,Porsche,911,911 Turbo,Zuzwil
Silver,NSU,,TT,Zuzwil
Silver,Mclaren,12C,MP4-12C Coupé 3.8 V8,Zuzwil
Silver,BMW,735,735i,Zuzwil
Silver,Mercedes-Benz,E 250,E 250 CGI BlueEff Avgarde,Zuzwil
Silver,Renault,ALPINE,Alpine A310 V6,Zuzwil
Blue,Citroen,C5,C5 3.0 V6 Exclusive,Zuzwil
Silver,Toyota,COROLLA,Corolla 2.0 D4D L.Terra,Zuzwil
Silver,Bentley,ARNAGE,Arnage Green Label,Zuzwil
Silver,BMW,M6,M6,Zuzwil
Silver,Porsche,911,911 Turbo,Zuzwil
Silver,Ferrari,575M,575M,Zuzwil
Silver,BMW,X1,X1 xDrive 25d Sport Line,Zuzwil
Silver,Mercedes-Benz,S 65 AMG,S 65 L AMG 650PS,Zuzwil
Silver,Ferrari,456,456M GT,Zuzwil
Silver,Mercedes-Benz,S 500,S 500,Zuzwil
Silver,VW,GOLF,Golf R32 4Motion,Zuzwil
Blue,Ford,CAPRI,CAPRI RS 2600,Zuzwil
Silver,Renault,SPORT SPIDER,SPORT SPIDER Windschutzscheibe,Zuzwil
Silver,Renault,R5,R5 Alpine,Zuzwil
Silver,Mercedes-Benz,S 65 AMG,S 65 AMG L,Zuzwil
Silver,Renault,SPORT SPIDER,Spider 2.0 16V TURBO,Zuzwil
Silver,BMW,M6,M6,Zuzwil
Silver,Mercedes-Benz,CL 500,CL 500 Prime Edition,Zuzwil
Silver,Land Rover,RANGE ROVER,Range Rover 5.0 V8 SC,Zuzwil
Silver,BMW,M5,M5,Zuzwil
Silver,MG,,M Roadster,Zuzwil
Silver,Mercedes-Benz,S 600,S 600 L,Zuzwil
Blue,Jaguar,S-TYPE,S-Type 4.0 V8,Zuzwil
Silver,Fiat,SPIDER,124 Spider CSA Abarth,Zuzwil
Silver,Ferrari,F360,F360 Spider,Zuzwil
Silver,Bmw-Alpina,5 SERIES,5 SERIES B7 (E28),Zuzwil
Silver,Rolls-Royce,CORNICHE,Corniche,Zuzwil
Silver,Nissan,Skyline,Skyline R34 GTR,Zuzwil
Silver,Audi,QUATTRO,quattro Turbo 20V,Zuzwil
Silver,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Silver,Renault,ALPINE,Alpine A610 Turbo,Zuzwil
Silver,Audi,R8,R8 GT Spyder 5.2,Zuzwil
Silver,Maserati,BITURBO,Biturbo Spyder E,Zuzwil
Other,Lotus,ELISE,Elise,Zuzwil
Blue,Mercedes-Benz,SLK 350,SLK 350,Zuzwil
Silver,Mercedes-Benz,CLK 320,CLK 320 Sport,Zuzwil
Silver,Citroen,2CV,2CV6 Charleston,Zuzwil
Silver,Mercedes-Benz,E 430,E 430 Avantgarde,Zuzwil
Silver,Renault,CLIO,Clio 3.0 Sport V6,Zuzwil
Silver,Renault,ALPINE,Alpine A310 V6,Zuzwil
Silver,Mclaren,12C,MP4-12C Coupé 3.8 V8,Zuzwil
Silver,Triumph,TR3,TR3,Safenwil
Silver,Mercedes-Benz,CL 55 AMG,CL 55 AMG,Zuzwil
Silver,Mercedes-Benz,S 320,S 320,Zuzwil
Silver,Mercedes-Benz,SL 500,SL 500,Zuzwil
Blue,Bentley,CONTINENTAL,Continental FlyingSpur6.0,Zuzwil
Silver,Porsche,911,911 Carrera Cabrio,Zuzwil
Silver,Porsche,911,911 GT3,Zuzwil
Silver,BMW,535,535d,Zuzwil
Silver,Rolls-Royce,CORNICHE,Corniche,Zuzwil
Silver,Aston Martin,DB7,DB7 Vantage Volante,Zuzwil
Silver,Mercedes-Benz,SL 500,SL 500,Zuzwil
Silver,BMW,2002,2002 tii,Zuzwil
Silver,BMW,750,750iL,Zuzwil
Silver,Bentley,ARNAGE,Arnage Green Label,Zuzwil
Silver,BMW,M5,M5,Zuzwil
Blue,Renault,CLIO,Clio 2.0 16V Sport,Zuzwil
Silver,Mercedes-Benz,SLK 200,SLK 200 Kompressor,Zuzwil
Silver,BMW,M3,M3 CSL,Zuzwil
Silver,Mercedes-Benz,SL 500,SL 500,Zuzwil
Silver,BMW,M5,M5,Zuzwil
Silver,Mercedes-Benz,SL 500,SL 500,Zuzwil
Silver,Mercedes-Benz,CL 600,CL 600,Zuzwil
Silver,Mercedes-Benz,SL 500,SL 500 6.0 AMG,Zuzwil
Silver,Mercedes-Benz,S 65 AMG,S 65 AMG L,Zuzwil
Silver,Audi,RS6,RS6 Avant quattro,Zuzwil
Silver,Land Rover,DISCOVERY,Discovery 3.9,Zuzwil
Blue,Chevrolet,CAMARO,CAMARO,Sursee
Silver,BMW,M5,M5,Zuzwil
Silver,Mercedes-Benz,300,300 300SL W198,Sursee
Silver,Fiat,STILO,Stilo 1.8 16V Swiss,Zuzwil
Silver,Lancia,,Monte Carlo 137 AS,Zuzwil
Silver,Toyota,CARINA,CARINA Deluxe,Zuzwil
Silver,Mercedes-Benz,E 320,E 320 Elégance,Zuzwil
Silver,Porsche,CAYENNE,Cayenne S,Zuzwil
Silver,BMW,M3,M3,Zuzwil
Silver,BMW,650,650i xDrive,Zuzwil
Silver,Chevrolet,CORVETTE,Corvette 6.2,Zuzwil
Blue,Maserati,COUPÉ GT,Coupé GT,Zuzwil
Silver,Ferrari,F360,F360 Modena Berlinetta,Zuzwil
Silver,BMW,328,328i Coupé,Zuzwil
Silver,Mercedes-Benz,S 65 AMG,S 65 AMG L,Zuzwil
Silver,Audi,RS6,RS6 Avant quattro,Zuzwil
Silver,Ferrari,F355,F355 Berlinetta,Zuzwil
Silver,Volvo,S60,S60 2.4T,Zuzwil
Silver,Chrysler,VIPER,Viper GTS,Zuzwil
Silver,Porsche,911,911 Turbo,Zuzwil
Silver,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Silver,Ford,,RS200 EVO Gruppe B,Zuzwil
Blue,Audi,A8,A8 4.2 quattro,Zuzwil
Silver,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Silver,Porsche,PANAMERA,Panamera 4S 4.8,Zuzwil
Silver,BMW,X5,X5 4.4i,Zuzwil
Silver,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
Silver,Audi,RS6,RS6 Avant quattro,Zuzwil
Silver,Mercedes-Benz,E 320,E 320 CDI Avantgarde,Zuzwil
Silver,Ferrari,F360,F360 Modena Berlinetta,Zuzwil
Silver,Mercedes-Benz,SL 500,SL 500,Zuzwil
Silver,Lamborghini,MURCIÉLAGO,Murciélago LP670-4 SV Cpé,Zuzwil
Silver,Porsche,PANAMERA,Panamera 4S 4.8,Zuzwil
Blue,Jaguar,XJ,XJ 4.0 Sovereign,Zuzwil
Silver,Mercedes-Benz,S 600,S 600 L,Zuzwil
Silver,BMW,X5,X5 4.4i,Zuzwil
Silver,Land Rover,RANGE ROVER SPORT,Range Rover Sport 4.2 V8 SC,Zuzwil
Silver,Porsche,CAYENNE,Cayenne Turbo S,Zuzwil
Silver,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Silver,BMW,M5,M5,Zuzwil
Silver,BMW,328,328i,Zuzwil
Silver,BMW,330,330xi,Zuzwil
Silver,BMW,X5,X5 4.4i,Zuzwil
Silver,Bmw-Alpina,7 SERIES,7 SERIES B7 Turbo Limousine,Zuzwil
Blue,Maserati,SPYDER GT,Spyder GT,Zuzwil
Silver,Porsche,CARRERA GT,Carrera GT,Zuzwil
Silver,Audi,RS6,RS6 Avant quattro,Zuzwil
Silver,Nissan,SUNNY,Sunny 2.0 16V GTI-R,Zuzwil
Silver,Bmw-Alpina,3 SERIES,B3 3.3 S,Zuzwil
Silver,Bentley,ARNAGE,Arnage T,Zuzwil
Silver,Ferrari,F355,F355 Berlinetta,Zuzwil
Silver,Mercedes-Benz,SLR,SLR McLaren,Zuzwil
Silver,Mercedes-Benz,E 50 AMG,E 50 AMG Avantgarde,Zuzwil
Silver,Porsche,911,911 Turbo,Zuzwil
Silver,Porsche,911,911 Turbo,Zuzwil
Blue,Mercedes-Benz,E 230,E 230 Elégance,Zuzwil
Silver,Porsche,911,911 Turbo Cabrio,Zuzwil
Silver,Audi,RS4,RS4 4.2 V8 quattro,Zuzwil
Silver,Ferrari,F355,F355 Berlinetta,Zuzwil
Silver,Mercedes-Benz,CLS 500,CLS 500,Zuzwil
Silver,Porsche,911,911 SC 3.0,Zuzwil
Silver,BMW,M6,M6,Zuzwil
Silver,Mercedes-Benz,SL 500,SL 500,Zuzwil
Silver,Bentley,TURBO,TURBO,Zuzwil
Silver,PGO,,Cevennes,Zuzwil
Silver,Mercedes-Benz,CL 500,CL 500,Zuzwil
Blue,BMW,M5,M5,Zuzwil
Silver,Lamborghini,AVENTADOR,Aventador LP700-4 Rds,Sursee
Silver,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
Silver,Renault,R5,R5 Alpine Turbo,Zuzwil
Silver,Audi,A6,A6 2.4,Zuzwil
Silver,BMW,2002,2002 Turbo,Zuzwil
Silver,Mercedes-Benz,CLS 350,CLS 350 CGI,Zuzwil
Silver,Lamborghini,DIABLO,Diablo 5.7 VT,Zuzwil
Silver,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Silver,Ferrari,612,612,Zuzwil
Silver,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
